ecut,nkpts,alat,energy,total_force,run_time
40.0,440.0,5.18,-111.52246953,0.0,
40.0,440.0,5.19,-111.52329836,0.0,
40.0,440.0,5.2,-111.52405648,0.0,
40.0,440.0,5.21,-111.52477456,0.0,
40.0,440.0,5.22,-111.52542812,0.0,
40.0,440.0,5.23,-111.52601063,0.0,
40.0,440.0,5.24,-111.52656014,0.0,
40.0,440.0,5.25,-111.52703626,0.0,
40.0,440.0,5.26,-111.5274701,0.0,
40.0,440.0,5.27,-111.52784691,0.0,
40.0,440.0,5.28,-111.52818853,0.0,
40.0,440.0,5.29,-111.52847366,0.0,
40.0,440.0,5.3,-111.52871511,0.0,
40.0,440.0,5.31,-111.52891453,0.0,
40.0,440.0,5.32,-111.52909561,0.0,
40.0,440.0,5.33,-111.52921635,0.0,
40.0,440.0,5.34,-111.52930654,0.0,
40.0,440.0,5.35,-111.52939268,0.0,
40.0,440.0,5.36,-111.52940529,0.0,
40.0,440.0,5.37,-111.52938994,0.0,
40.0,440.0,5.38,-111.5293352,0.0,
40.0,440.0,5.39,-111.52926686,0.0,
40.0,440.0,5.4,-111.52914882,0.0,
40.0,440.0,5.41,-111.5290147,0.0,
40.0,440.0,5.42,-111.52883499,0.0,
40.0,440.0,5.43,-111.52863687,0.0,
40.0,440.0,5.44,-111.52839657,0.0,
40.0,440.0,5.45,-111.52813257,0.0,
40.0,440.0,5.46,-111.52784358,0.0,
40.0,440.0,5.47,-111.52751498,0.0,
40.0,440.0,5.48,-111.52716006,0.0,
40.0,440.0,5.49,-111.5267729,0.0,
40.0,440.0,5.5,-111.52639027,0.0,
40.0,440.0,5.51,-111.52584339,0.0,
40.0,440.0,5.52,-111.5254992,0.0,
40.0,440.0,5.53,-111.52499798,0.0,
40.0,440.0,5.54,-111.52448002,0.0,
40.0,440.0,5.55,-111.52392671,0.0,
